ID,Name,Gender,Preferred language,Majors,Level of ambition,Preferred meeting place,Personality type,Best friend,Preferred day
1,Kristian Nacht,Male,Any,"('NS', 'CL')",High,Online,ESTP,Susanne Keller,Thursday
2,Stefanie Brandt,Female,Any,"('AI', 'CL')",Very low,In person,ISTP,Eric Schweizer,Tuesday
3,Jennifer Neustadt,Female,German,"('AI', 'NI')",Low,In person,ESTJ,Annett Freytag,Wednesday
4,Antje Holzman,Female,German,"('AI', 'NI')",Very high,In person,ENTJ,Jonas Ritter,Thursday
5,Kristian Kortig,Male,Any,"('NS', 'CP')",Very low,In person,ENFP,Tobias Herman,Tuesday
6,Laura Ostermann,Female,Any,"('AI', 'CP')",Medium,In person,ISTJ,Klaus Ziegler,Tuesday
7,Marina Eisenhower,Female,Any,"('CL', 'AI')",Very high,In person,ENTJ,Marco Bayer,Thursday
8,Marcel Cole,Male,Any,"('NI', 'AI')",High,In person,ISFJ,Kristin Cole,Thursday
9,Leah Wannemaker,Female,Any,"('AI', 'CP')",Medium,Online,ESTP,Felix Weber,Monday
10,Phillipp Bürger,Male,Any,"('CL', 'AI')",Very low,Online,ISFP,Manuela Lang,Friday
11,Phillipp Frei,Male,Any,"('NI', 'AI')",Very high,In person,ENTJ,Barbara Feierabend,Tuesday
12,Kristin Reiniger,Female,Any,"('CP', 'AI')",Very low,In person,ENTP,Marcel Huber,Friday
13,Dirk Gersten,Male,Any,"('NS', 'AI')",High,Online,ESFJ,Claudia Wagner,Wednesday
14,Frank Theiss,Male,Any,"('NI', 'PHIL')",Low,In person,ENFJ,Anja Mahler,Thursday
15,Maria Becker,Female,German,"('NS', 'CP')",Very low,Online,ESTP,Klaus Fried,Wednesday
16,Ulrich Urner,Male,Any,"('CL', 'NI')",Very low,In person,INFJ,Uwe Koehler,Wednesday
17,Michael Vogt,Male,Any,"('NI', 'NS')",Very high,In person,ENFJ,Juliane Weber,Monday
18,Juliane Bader,Female,Any,"('PHIL', 'NS')",Very low,In person,ENTJ,Julia Faerber,Monday
19,Ute Schroder,Female,English,"('NI', 'CL')",High,Online,ENFJ,Christine Koch,Tuesday
20,Jürgen Hoch,Male,Any,"('NS', 'PHIL')",Medium,In person,ESTP,Bernd Richter,Friday
21,Dennis Maur,Male,English,"('PHIL', 'CP')",Very high,In person,ESFP,Michelle Eberhardt,Wednesday
22,Tom Schweitzer,Male,Any,"('PHIL', 'NI')",High,Online,INFP,Sabrina Kuster,Tuesday
23,Doreen Mehler,Female,Any,"('NI', 'PHIL')",Low,Online,INTP,Sebastian Frankfurter,Tuesday
24,Ulrich Ziegler,Indeterminate,English,"('CP', 'CL')",High,In person,INTP,Manuela Friedmann,Thursday
25,Birgit Diederich,Female,Any,"('PHIL', 'AI')",Low,In person,ISTP,Eric Scholz,Friday
26,Jonas Ritter,Male,Any,"('AI', 'PHIL')",Low,In person,ENTJ,Antje Holzman,Wednesday
27,Barbara Feierabend,Female,Any,"('NS', 'CP')",Low,In person,ISTJ,Phillipp Frei,Wednesday
28,Marcel Huber,Male,Any,"('CL', 'NS')",Medium,In person,INFJ,Kristin Reiniger,Wednesday
29,Uwe Koehler,Male,Any,"('NI', 'CP')",High,In person,ISTP,Ulrich Urner,Monday
30,Eric Schweizer,Male,Any,"('CL', 'AI')",Very high,In person,INFP,Stefanie Brandt,Monday
31,Sabrina Kuster,Female,German,"('CP', 'AI')",Very high,In person,ENFP,Tom Schweitzer,Monday
32,Michelle Eberhardt,Female,English,"('CL', 'CP')",Very low,Online,ESFJ,Dennis Maur,Thursday
33,Anja Mahler,Female,Any,"('NI', 'PHIL')",Low,In person,ENFP,Frank Theiss,Tuesday
34,Bernd Richter,Male,Any,"('CL', 'NI')",Medium,In person,ISTP,Jürgen Hoch,Monday
35,Marco Bayer,Male,Any,"('CP', 'PHIL')",High,Online,ENFJ,Marina Eisenhower,Thursday
36,Claudia Wagner,Female,Any,"('PHIL', 'AI')",Low,In person,ISTP,Dirk Gersten,Monday
37,Juliane Weber,Female,Any,"('NI', 'CL')",Medium,In person,INTJ,Michael Vogt,Thursday
38,Eric Scholz,Male,Any,"('AI', 'PHIL')",Very high,In person,INFJ,Birgit Diederich,Friday
39,Christine Koch,Indeterminate,Any,"('CP', 'NI')",Very high,In person,ESTJ,Ute Schroder,Friday
40,Manuela Friedmann,Female,Any,"('NS', 'PHIL')",Medium,In person,INFJ,Ulrich Ziegler,Wednesday
41,Julia Faerber,Female,Any,"('PHIL', 'AI')",High,In person,ENTP,Juliane Bader,Friday
42,Annett Freytag,Female,German,"('NI', 'CP')",Low,In person,INFP,Jennifer Neustadt,Monday
43,Sebastian Frankfurter,Male,English,"('NS', 'CL')",Low,In person,ISTJ,Doreen Mehler,Friday
44,Felix Weber,Male,Any,"('CP', 'NI')",Very high,In person,ENFP,Leah Wannemaker,Friday
45,Klaus Ziegler,Male,Any,"('AI', 'CL')",Medium,In person,ESFJ,Laura Ostermann,Tuesday
46,Klaus Fried,Male,Any,"('NS', 'CL')",Low,In person,ESTJ,Maria Becker,Thursday
47,Susanne Keller,Female,Any,"('PHIL', 'CL')",Medium,In person,ESTP,Kristian Nacht,Monday
48,Manuela Lang,Female,Any,"('NS', 'NI')",Low,In person,ENFJ,Phillipp Bürger,Wednesday
49,Kristin Cole,Female,Any,"('CP', 'CL')",High,In person,INFJ,Marcel Cole,Tuesday
50,Tobias Herman,Male,Any,"('NI', 'NS')",Medium,In person,INFJ,Kristian Kortig,Friday
